"item-title","item-title href","item-title src","copies-text","card-footer","px-3","submission-preview src"
"Quim Junyent","https://sortitoutsi.net/graphics/browse/1/1564115/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000297440.png","2000297440","0
                                 13","V 2025.08","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.08/2000297440.png?width=100&height=100"
"Raphinha","https://sortitoutsi.net/graphics/browse/1/218320/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/19242277.png","19242277","2
                                 51","V 2025.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.01/19242277.png?width=100&height=100"
"Raúl Expósito","https://sortitoutsi.net/graphics/browse/1/1824355/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000472427.png","2000472427","Contribute","",""
"Robert Lewandowski","https://sortitoutsi.net/graphics/browse/1/88997/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/719601.png","719601","4
                                 70","V 2024.10","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.10/719601.png?width=100&height=100"
"Roberto Tomás","https://sortitoutsi.net/graphics/browse/1/1826092/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000466871.png","2000466871","0
                                 2","",""
"Roger Martínez","https://sortitoutsi.net/graphics/browse/1/1260435/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000049429.png","2000049429","0
                                 8","V 2025.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.00/2000049429.png?width=100&height=100"
"Ronald Araujo","https://sortitoutsi.net/graphics/browse/1/486674/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/78085068.png","78085068","3
                                 37","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/78085068.png?width=100&height=100"
"Roony Bardghji","https://sortitoutsi.net/graphics/browse/1/1447482/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000088490.png","2000088490","3
                                 18","V 2026.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2026.00/2000088490.png?width=100&height=100"
"Sama Nomoko","https://sortitoutsi.net/graphics/browse/1/1825906/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000402956.png","2000402956","0
                                 1","",""
"Sergi Mayans","https://sortitoutsi.net/graphics/browse/1/1820772/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000472421.png","2000472421","Contribute","",""
"Shane Kluivert","https://sortitoutsi.net/graphics/browse/1/1563986/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000297774.png","2000297774","0
                                 7","V 2025.07","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.07/2000297774.png?width=100&height=100"
"Tomàs Marqués","https://sortitoutsi.net/graphics/browse/1/1564098/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000297470.png","2000297470","0
                                 5","V 2025.08","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.08/2000297470.png?width=100&height=100"
"Toni Fernández","https://sortitoutsi.net/graphics/browse/1/1827133/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000351880.png","2000351880","0
                                 2","",""
"Víctor Barberà","https://sortitoutsi.net/graphics/browse/1/1371886/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000134239.png","2000134239","1
                                 11","V 2024.12","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.12/2000134239.png?width=100&height=100"
"Wojciech Szczesny","https://sortitoutsi.net/graphics/browse/1/280770/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/28009478.png","28009478","0
                                 52","V 2024.10","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.10/28009478.png?width=100&height=100"
"Xavi Espart","https://sortitoutsi.net/graphics/browse/1/1563505/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000298787.png","2000298787","0
                                 5","V 2024.03","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.03/2000298787.png?width=100&height=100"
"Xavi Miràngels","https://sortitoutsi.net/graphics/browse/1/1820731/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000472435.png","2000472435","1
                                 1","",""
