"item-title","item-title href","item-title src","copies-text","px-3","submission-preview src","card-footer"
"Dani Cárdenas","https://sortitoutsi.net/graphics/browse/1/459018/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67225564.png","67225564","V 2025.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.00/67225564.png?width=100&height=100","0
                                 21"
"Daniel Voicila","https://sortitoutsi.net/graphics/browse/1/1811394/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000442281.png","2000442281","","","Contribute"
"Diego Leitón","https://sortitoutsi.net/graphics/browse/1/1748856/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000372458.png","2000372458","","","0
                                 1"
"Diego Méndez","https://sortitoutsi.net/graphics/browse/1/1471357/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000209781.png","2000209781","V 2025.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.00/2000209781.png?width=100&height=100","0
                                 5"
"Diego Robles","https://sortitoutsi.net/graphics/browse/1/1746694/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000386441.png","2000386441","","","0
                                 1"
"Florian Lejeune","https://sortitoutsi.net/graphics/browse/1/502961/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/85063747.png","85063747","V 2025.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.00/85063747.png?width=100&height=100","0
                                 31"
"Fran Pérez","https://sortitoutsi.net/graphics/browse/1/1134718/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/95078306.png","95078306","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/95078306.png?width=100&height=100","0
                                 19"
"Gerard Gumbau","https://sortitoutsi.net/graphics/browse/1/457971/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67207185.png","67207185","","","0
                                 15"
"Germán Mesonero","https://sortitoutsi.net/graphics/browse/1/1825526/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000395164.png","2000395164","","","Contribute"
"Glenn Jorge de Bruyn","https://sortitoutsi.net/graphics/browse/1/1428057/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000144052.png","2000144052","V 2024.07","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.07/2000144052.png?width=100&height=100","1
                                 5"
"Hugo Castaño","https://sortitoutsi.net/graphics/browse/1/1817620/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000386450.png","2000386450","","","0
                                 1"
"Hugo Navarro","https://sortitoutsi.net/graphics/browse/1/1717530/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000372460.png","2000372460","","","0
                                 1"
"Hugo Verdejo","https://sortitoutsi.net/graphics/browse/1/1799720/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000485203.png","2000485203","","","Contribute"
"Ibrahima Camara","https://sortitoutsi.net/graphics/browse/1/1268113/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000060706.png","2000060706","V 2023.10","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.10/2000060706.png?width=100&height=100","0
                                 7"
"Isi Palazón","https://sortitoutsi.net/graphics/browse/1/455765/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67173045.png","67173045","","","0
                                 13"
"Iván Alonso","https://sortitoutsi.net/graphics/browse/1/1811447/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000396187.png","2000396187","","","0
                                 1"
"Iván Balliu","https://sortitoutsi.net/graphics/browse/1/449967/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67053461.png","67053461","","","0
                                 23"
"Iván Íñigo","https://sortitoutsi.net/graphics/browse/1/1817504/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000398091.png","2000398091","","","0
                                 1"
